k Nrep i_ave squared_error_HSgb_G
5 1000 33 0.00025273907
5 1000 34 0.00237014649
5 1000 35 0.00093399352
5 1000 36 0.00078267701
5 1000 37 0.00137029409
5 1000 38 0.00186898418
5 1000 39 0.00322066340
5 1000 40 0.00282124154
5 1000 41 0.00171611101
5 1000 42 0.00322474367
5 1000 43 0.00079306018
5 1000 44 0.00142233307
5 1000 45 0.00180490792
5 1000 46 0.00238581739
5 1000 47 0.00465135011
5 1000 48 0.00245226219
5 1000 49 0.00077583430
5 1000 50 0.00088890481
5 1000 51 0.00083308434
5 1000 52 0.00074486260
5 1000 53 0.00061601110
5 1000 54 0.00174768988
5 1000 55 0.00129168913
5 1000 56 0.00372613492
5 1000 57 0.00038389717
5 1000 58 0.00044285937
5 1000 59 0.00284553943
5 1000 60 0.00247554369
5 1000 61 0.00124681271
5 1000 62 0.00047945140
5 1000 63 0.00326531229
5 1000 64 0.00141727364
5 1000 65 0.00054664533
5 1000 66 0.00339164417
5 1000 67 0.00059777419
5 1000 68 0.00605437938
5 1000 69 0.00120502529
5 1000 70 0.00085103698
5 1000 71 0.00219786478
5 1000 72 0.00051820974
5 1000 73 0.00257723020
5 1000 74 0.00413160106
5 1000 75 0.00184648889
5 1000 76 0.00311757432
5 1000 77 0.00200886622
5 1000 78 0.00210931661
5 1000 79 0.00034380237
5 1000 80 0.00180115986
5 1000 81 0.00091283997
5 1000 82 0.00238480248
5 1000 83 0.00701431515
5 1000 84 0.00097763603
5 1000 85 0.00304515996
5 1000 86 0.00193830132
5 1000 87 0.00057351340
5 1000 88 0.00180488113
5 1000 89 0.00122332060
5 1000 90 0.00141191014
5 1000 91 0.00122896137
5 1000 92 0.00300862892
5 1000 93 0.00073756064
5 1000 94 0.00071587998
5 1000 95 0.00069706311
5 1000 96 0.00082851007
5 1000 97 0.00080244470
5 1000 98 0.00067191391
5 1000 99 0.00115984140
5 1000 100 0.00098528499
5 10000 1 0.00057399744
5 10000 2 0.00073984575
5 10000 3 0.00036242314
5 10000 4 0.00028667097
5 10000 5 0.00038860950
5 10000 6 0.00021404078
5 10000 7 0.00023051391
5 10000 8 0.00060143495
5 10000 9 0.00046707415
5 10000 10 0.00030201353
5 10000 11 0.00032508036
5 10000 12 0.00045076046
5 10000 13 0.00025950714
